Date,Close,Open,High,Low,Volume,,Vol.
01/06/2018,"14,328.90","14,203.20","14,429.40","14,102.60", 25.470000 ,,25.47M
01/08/2018,"13,232.80","13,162.50","13,426.40","13,127.30", 18.780000 ,,18.78M
01/10/2018,"14,922.10","14,886.90","15,115.70","14,799.00", 18.660000 ,,18.66M
01/11/2018,"13,936.70","14,042.30","14,059.90","13,866.30", 6.140000 ,,6.14M
02/04/2018,"14,831.70","15,208.70","15,233.90","14,831.70", 23.360000 ,,23.36M
02/05/2018,"13,675.30","13,675.30","13,926.70","13,398.80", 16.090000 ,,16.09M
02/07/2018,"13,514.40","13,373.60","13,549.60","13,021.70", 17.040000 ,,17.04M
02/08/2018,"13,109.70","13,197.60","13,197.60","12,845.70", 16.630000 ,,16.63M
02/10/2018,"14,535.00","14,693.40","14,799.00","14,482.20", 29.030000 ,,29.03M
02/11/2018,"14,077.50","14,077.50","14,130.30","14,007.10", 9.840000 ,,9.84M
03/04/2018,"14,706.00","14,831.70","14,957.30","14,454.60", 24.340000 ,,24.34M
03/05/2018,"13,650.10","13,650.10","13,700.40","13,423.90", 20.410000 ,,20.41M
03/07/2018,"12,775.30","13,514.40","13,655.20","12,775.30", 15.940000 ,,15.94M
03/08/2018,"12,775.30","13,197.60","13,215.20","12,775.30", 16.290000 ,,16.29M
03/10/2018,"14,535.00","14,429.40","14,640.60","14,429.40", 13.670000 ,,13.67M
03/12/2018,"12,247.40","11,965.90","12,317.80","11,965.90", 10.320000 ,,10.32M
03/29/2018,"15,284.10","15,083.00","15,384.70","15,032.80", 14.120000 ,,14.12M
03/30/2018,"15,183.60","15,384.70","15,409.80","15,108.20", 9.880000 ,,9.88M
04/04/2018,"14,831.70","14,831.70","14,907.10","14,706.00", 11.150000 ,,11.15M
04/05/2018,"13,574.70","13,775.80","13,901.50","13,549.60", 9.960000 ,,9.96M
04/06/2018,"15,083.00","14,555.10","15,083.00","14,404.30", 21.640000 ,,21.64M
04/07/2018,"13,056.90","12,951.30","13,180.10","12,740.10", 10.320000 ,,10.32M
04/09/2018,"13,725.60","13,971.90","14,042.30","13,725.60", 12.250000 ,,12.25M
04/10/2018,"14,570.20","14,499.80","14,570.20","14,394.20", 32.600000 ,,32.60M
04/12/2018,"12,177.00","12,317.80","12,388.20","12,053.90", 11.800000 ,,11.80M
04/13/2018,"15,384.70","15,585.80","15,610.90","15,309.30", 12.550000 ,,12.55M
04/16/2018,"15,108.20","15,208.70","15,334.40","15,108.20", 8.350000 ,,8.35M
04/17/2018,"15,007.60","15,183.60","15,183.60","14,831.70", 12.910000 ,,12.91M
04/18/2018,"14,831.70","15,057.90","15,133.30","14,831.70", 10.570000 ,,10.57M
04/19/2018,"14,328.90","14,731.10","14,856.80","14,328.90", 19.620000 ,,19.62M
